[ INFO ] [2016-05-24 20:25:58] com.lifeix.football.competitions.Application [25] - org.springframework.boot.context.event.ApplicationEnvironmentPreparedEvent[source=org.springframework.boot.SpringApplication@57404558]
[ DEBUG] [2016-05-24 20:25:58] org.springframework.beans.factory.support.DefaultListableBeanFactory [874] - Registering scope 'restart' with implementation [org.springframework.boot.devtools.restart.RestartScopeInitializer$RestartScope@50277c73]
[ INFO ] [2016-05-24 20:25:58] com.lifeix.football.competitions.Application [48] - Starting Application on gcc with PID 15332 (E:\workspaces\chinafootball\lifeix-football-competitions\target\classes started by hasee-pc in E:\workspaces\chinafootball\lifeix-football-competitions)
[ INFO ] [2016-05-24 20:25:58] com.lifeix.football.competitions.Application [670] - The following profiles are active: common,system,dev
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'hiddenHttpMethodFilter'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'httpPutFormContentFilter'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'httpPutFormContentFilter'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.boot.autoconfigure.web.WebMvcAutoConfiguration'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'httpPutFormContentFilter' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [1620] - Invoking afterPropertiesSet() on bean with name 'httpPutFormContentFilter'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'httpPutFormContentFilter'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'applicationContextIdFilter'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'applicationContextIdFilter'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'org.springframework.boot.actuate.autoconfigure.EndpointWebMvcAutoConfiguration$ApplicationContextFilterConfiguration'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'org.springframework.boot.actuate.autoconfigure.EndpointWebMvcAutoConfiguration$ApplicationContextFilterConfiguration'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'org.springframework.boot.actuate.autoconfigure.EndpointWebMvcAutoConfiguration$ApplicationContextFilterConfiguration' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'org.springframework.boot.actuate.autoconfigure.EndpointWebMvcAutoConfiguration$ApplicationContextFilterConfiguration'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [757] - Autowiring by type from bean name 'applicationContextIdFilter' via factory method to bean named 'org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1c830be1'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'applicationContextIdFilter' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [1620] - Invoking afterPropertiesSet() on bean with name 'applicationContextIdFilter'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'applicationContextIdFilter'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'metricFilter'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'metricFilter'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'org.springframework.boot.actuate.autoconfigure.MetricFilterAutoConfiguration'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'org.springframework.boot.actuate.autoconfigure.MetricFilterAutoConfiguration'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.annotation.InjectionMetadata [72] - Registered injected element on class [org.springframework.boot.actuate.autoconfigure.MetricFilterAutoConfiguration$$EnhancerBySpringCGLIB$$cd7f77cf]: AutowiredFieldElement for private org.springframework.boot.actuate.metrics.CounterService org.springframework.boot.actuate.autoconfigure.MetricFilterAutoConfiguration.counterService
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.annotation.InjectionMetadata [72] - Registered injected element on class [org.springframework.boot.actuate.autoconfigure.MetricFilterAutoConfiguration$$EnhancerBySpringCGLIB$$cd7f77cf]: AutowiredFieldElement for private org.springframework.boot.actuate.metrics.GaugeService org.springframework.boot.actuate.autoconfigure.MetricFilterAutoConfiguration.gaugeService
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'org.springframework.boot.actuate.autoconfigure.MetricFilterAutoConfiguration' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.annotation.InjectionMetadata [86] - Processing injected element of bean 'org.springframework.boot.actuate.autoconfigure.MetricFilterAutoConfiguration': AutowiredFieldElement for private org.springframework.boot.actuate.metrics.CounterService org.springframework.boot.actuate.autoconfigure.MetricFilterAutoConfiguration.counterService
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'counterService'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'counterService'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'org.springframework.boot.actuate.autoconfigure.MetricRepositoryAutoConfiguration$FastMetricServicesConfiguration'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'org.springframework.boot.actuate.autoconfigure.MetricRepositoryAutoConfiguration$FastMetricServicesConfiguration'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'org.springframework.boot.actuate.autoconfigure.MetricRepositoryAutoConfiguration$FastMetricServicesConfiguration' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'org.springframework.boot.actuate.autoconfigure.MetricRepositoryAutoConfiguration$FastMetricServicesConfiguration'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'counterBuffers'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'counterBuffers'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.boot.actuate.autoconfigure.MetricRepositoryAutoConfiguration$FastMetricServicesConfiguration'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'counterBuffers' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'counterBuffers'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [757] - Autowiring by type from bean name 'counterService' via factory method to bean named 'counterBuffers'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'counterService' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'counterService'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor [492] - Autowiring by type from bean name 'org.springframework.boot.actuate.autoconfigure.MetricFilterAutoConfiguration' to bean named 'counterService'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.annotation.InjectionMetadata [86] - Processing injected element of bean 'org.springframework.boot.actuate.autoconfigure.MetricFilterAutoConfiguration': AutowiredFieldElement for private org.springframework.boot.actuate.metrics.GaugeService org.springframework.boot.actuate.autoconfigure.MetricFilterAutoConfiguration.gaugeService
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'gaugeService'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'gaugeService'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.boot.actuate.autoconfigure.MetricRepositoryAutoConfiguration$FastMetricServicesConfiguration'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'gaugeBuffers'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'gaugeBuffers'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.boot.actuate.autoconfigure.MetricRepositoryAutoConfiguration$FastMetricServicesConfiguration'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'gaugeBuffers' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'gaugeBuffers'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [757] - Autowiring by type from bean name 'gaugeService' via factory method to bean named 'gaugeBuffers'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'gaugeService' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'gaugeService'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor [492] - Autowiring by type from bean name 'org.springframework.boot.actuate.autoconfigure.MetricFilterAutoConfiguration' to bean named 'gaugeService'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'org.springframework.boot.actuate.autoconfigure.MetricFilterAutoConfiguration'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'metricFilter' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [1620] - Invoking afterPropertiesSet() on bean with name 'metricFilter'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'metricFilter'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'webRequestLoggingFilter'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'webRequestLoggingFilter'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'org.springframework.boot.actuate.autoconfigure.TraceWebFilterAutoConfiguration'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'org.springframework.boot.actuate.autoconfigure.TraceWebFilterAutoConfiguration'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.annotation.InjectionMetadata [72] - Registered injected element on class [org.springframework.boot.actuate.autoconfigure.TraceWebFilterAutoConfiguration]: AutowiredFieldElement for private org.springframework.boot.actuate.trace.TraceRepository org.springframework.boot.actuate.autoconfigure.TraceWebFilterAutoConfiguration.traceRepository
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.annotation.InjectionMetadata [72] - Registered injected element on class [org.springframework.boot.actuate.autoconfigure.TraceWebFilterAutoConfiguration]: AutowiredFieldElement for private org.springframework.boot.autoconfigure.web.ErrorAttributes org.springframework.boot.actuate.autoconfigure.TraceWebFilterAutoConfiguration.errorAttributes
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.annotation.InjectionMetadata [72] - Registered injected element on class [org.springframework.boot.actuate.autoconfigure.TraceWebFilterAutoConfiguration]: AutowiredFieldElement for private boolean org.springframework.boot.actuate.autoconfigure.TraceWebFilterAutoConfiguration.dumpRequests
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.annotation.InjectionMetadata [72] - Registered injected element on class [org.springframework.boot.actuate.autoconfigure.TraceWebFilterAutoConfiguration]: AutowiredFieldElement for org.springframework.boot.actuate.trace.TraceProperties org.springframework.boot.actuate.autoconfigure.TraceWebFilterAutoConfiguration.traceProperties
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'org.springframework.boot.actuate.autoconfigure.TraceWebFilterAutoConfiguration' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.annotation.InjectionMetadata [86] - Processing injected element of bean 'org.springframework.boot.actuate.autoconfigure.TraceWebFilterAutoConfiguration': AutowiredFieldElement for private org.springframework.boot.actuate.trace.TraceRepository org.springframework.boot.actuate.autoconfigure.TraceWebFilterAutoConfiguration.traceRepository
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'traceRepository'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'traceRepository'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'org.springframework.boot.actuate.autoconfigure.TraceRepositoryAutoConfiguration'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'org.springframework.boot.actuate.autoconfigure.TraceRepositoryAutoConfiguration'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'org.springframework.boot.actuate.autoconfigure.TraceRepositoryAutoConfiguration' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'org.springframework.boot.actuate.autoconfigure.TraceRepositoryAutoConfiguration'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'traceRepository' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'traceRepository'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor [492] - Autowiring by type from bean name 'org.springframework.boot.actuate.autoconfigure.TraceWebFilterAutoConfiguration' to bean named 'traceRepository'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.annotation.InjectionMetadata [86] - Processing injected element of bean 'org.springframework.boot.actuate.autoconfigure.TraceWebFilterAutoConfiguration': AutowiredFieldElement for private org.springframework.boot.autoconfigure.web.ErrorAttributes org.springframework.boot.actuate.autoconfigure.TraceWebFilterAutoConfiguration.errorAttributes
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'errorAttributes'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'errorAttributes'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.boot.autoconfigure.web.ErrorMvcAutoConfiguration'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'errorAttributes' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'errorAttributes'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor [492] - Autowiring by type from bean name 'org.springframework.boot.actuate.autoconfigure.TraceWebFilterAutoConfiguration' to bean named 'errorAttributes'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.annotation.InjectionMetadata [86] - Processing injected element of bean 'org.springframework.boot.actuate.autoconfigure.TraceWebFilterAutoConfiguration': AutowiredFieldElement for private boolean org.springframework.boot.actuate.autoconfigure.TraceWebFilterAutoConfiguration.dumpRequests
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.annotation.InjectionMetadata [86] - Processing injected element of bean 'org.springframework.boot.actuate.autoconfigure.TraceWebFilterAutoConfiguration': AutowiredFieldElement for org.springframework.boot.actuate.trace.TraceProperties org.springframework.boot.actuate.autoconfigure.TraceWebFilterAutoConfiguration.traceProperties
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'management.trace.CONFIGURATION_PROPERTIES'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'management.trace.CONFIGURATION_PROPERTIES'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'management.trace.CONFIGURATION_PROPERTIES' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'management.trace.CONFIGURATION_PROPERTIES'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor [492] - Autowiring by type from bean name 'org.springframework.boot.actuate.autoconfigure.TraceWebFilterAutoConfiguration' to bean named 'management.trace.CONFIGURATION_PROPERTIES'
[ DEBUG] [2016-05-24 20:26:00] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
